Name,Origin,Description,WikiUrl,ImageUrl
Croquette,Spain,"A Spanish invention with worldwide popularity, a croquette is a small breadcrumbed fried food roll containing, usually as main ingredients, mashed potatoes and/or ground meat (veal, beef, chicken, or turkey), shellfish, fish, cheese, vegetables and mixed with béchamel or brown sauce, and soaked white bread, egg, onion, spices and herbs, wine,  milk, beer or any of the combination thereof, sometimes with a filling, e.g. sauteed onions or mushrooms, boiled eggs (Scotch eggs).",https://en.wikipedia.org/wiki/Croquette,https://upload.wikimedia.org/wikipedia/commons/5/57/Croquettes_with_salad.jpg
Doughnut,"Netherlands, United States",A fried dough snack popular in most parts of the world,https://en.wikipedia.org/wiki/Doughnut,https://upload.wikimedia.org/wikipedia/commons/6/65/Donuts_%28cropped%29.jpg
Fingos,United States,A discontinued breakfast cereal snack from General Mills that lasted from 1993 to 1994. The cereal was advertised as a snack.,https://en.wikipedia.org/wiki/Fingos,
Gulab Jamun,India,"This is a dessert made with milk, cheese solids, and flour. It is deep-fried and soaked in sugar water flavored with green cardamom, saffron, roses.",https://en.wikipedia.org/wiki/Gulab_jamun,https://upload.wikimedia.org/wikipedia/commons/8/88/Gulaab_Jamun_%28homemade%21%29_bright.jpg
Gulha,South Asia,A popular snack in Maldives,https://en.wikipedia.org/wiki/Gulha,https://upload.wikimedia.org/wikipedia/commons/a/ad/Maldivian_gulha33.JPG
Khanom buang,Thailand,A snack sold by street vendors in Thailand,https://en.wikipedia.org/wiki/Khanom_buang,https://upload.wikimedia.org/wikipedia/commons/0/0c/Khanom_bueang_01.jpg
Pakora,India,A fritter found across South Asia,https://en.wikipedia.org/wiki/Pakora,https://upload.wikimedia.org/wikipedia/commons/3/33/Chilli_Bites_%28Bhaji%29.jpg
Pancakes,"Ancient Greece, Ancient Rome","Flat, soda-leavened semi-sweet cake made with egg and flour. In the United States, pancakes are typically eaten at breakfast with syrup, fruit, and yogurt.",https://en.wikipedia.org/wiki/Pancakes,https://upload.wikimedia.org/wikipedia/commons/d/d7/Banana_on_pancake.jpg
Parippu Vada,Kerala (India),Traditional dal fritters,https://en.wikipedia.org/wiki/Vada_(food),https://upload.wikimedia.org/wikipedia/commons/1/15/Parippuvada_kattanchayaa.JPG
Pizza,"Naples, Italy","Flat bread with meat, vegetable and/or cheese toppings. Pizza is often eaten as pizza by the slice, ""mini pizza"" or ""pizza baguette,"" and is often sold by the slice or by weight. This popular snack knows variations around the world.",https://en.wikipedia.org/wiki/Pizza,https://upload.wikimedia.org/wikipedia/commons/4/43/Pizza_al_taglio.jpg
Poffertjes,Netherlands,"A traditional Dutch pancake-like dessert, consisting of yeast-leavened batter fried on a cast iron skillet",https://en.wikipedia.org/wiki/Poffertjes,https://upload.wikimedia.org/wikipedia/commons/3/36/Poffertjes_%28cropped%29.jpg
"Pretzel, soft",German Italian-American,A traditional baked treat,https://en.wikipedia.org/wiki/Pretzel,https://upload.wikimedia.org/wikipedia/en/c/c5/USA_Philadelphia_PA_Style_Soft_Pretzel.jpg
Sandesh,Bangal,"A cheese-based dessert, with added rice flour to form a dough, also categorized as confectionary.",https://en.wikipedia.org/wiki/Sandesh_(confectionery),https://upload.wikimedia.org/wikipedia/commons/6/6d/Shondesh.jpg
Sopaipilla,Spanish,A deep-fried dessert made with leavened wheat dough and shortening.,https://en.wikipedia.org/wiki/Sopaipilla,https://upload.wikimedia.org/wikipedia/commons/6/64/Sopapillas.jpg
Tele-bhaja (chop),"India, Bangladesh",Bengali fritters; a famous deep-fried snack made with vegetables and besan,,https://upload.wikimedia.org/wikipedia/commons/3/36/Tele-bhaja.jpg
Uzhunnu Vada,Indian subcontinent,"Popular in South Indian states like Kerala, Tamilnadu, and Karnataka",,
Waffle,Belgium,"A batter-based or dough-based cake cooked in a waffle iron patterned to give a characteristic size, shape and surface impression. There are many variations based on the type of iron and recipe used, with over a dozen regional varieties in Belgium alone.",https://en.wikipedia.org/wiki/Waffle,https://upload.wikimedia.org/wikipedia/commons/5/5b/Waffles_with_Strawberries.jpg
Zeppole,Italian,"A deep-fried dough ball filled with custard, cream, or any kind of sweet fillings.",https://en.wikipedia.org/wiki/Zeppole,https://upload.wikimedia.org/wikipedia/commons/0/02/Zeppole_stacked_on_a_plate.jpg
Aam Papad,India,A desert snack made with mango pulp and sugar.,https://en.wikipedia.org/wiki/Aam_papad,https://upload.wikimedia.org/wikipedia/commons/e/e7/Aam_Papad.JPG
Brittle,United States,"A type of confection consisting of flat broken pieces of hard sugar candy embedded with nuts such as pecans, almonds, or peanuts. Pictured is peanut brittle cracked on a serving dish",https://en.wikipedia.org/wiki/Brittle_(food),https://upload.wikimedia.org/wikipedia/commons/2/21/Golden_peanut_brittle_cracked_on_a_serving_dish.jpg
Bubblegum,United States,"A type of chewing gum, designed to be inflated out of the mouth as a  bubble. As with chewing gum, the product is made from chicle and is available in various flavors.",https://en.wikipedia.org/wiki/Bubblegum,https://upload.wikimedia.org/wikipedia/commons/9/9b/Bubble_gum_at_the_Haribo_factory.jpg
Candy,,"Also known as ""lollies"", many diverse candies exist, which include (but is not limited to) candy cane, candy corn, gumdrop, gummi bear, gummi candy, jawbreaker, jelly baby, jelly bean, licorice (also spelled liquorice),  lollipop, rock candy and taffy.",https://en.wikipedia.org/wiki/Candy,https://upload.wikimedia.org/wikipedia/commons/1/13/HardCandy.jpg
Chocolate,Central America,"Chocolate has been used as a drink for nearly all of its history, and has become one of the most popular food types and flavors in the world. Sweet chocolate such as milk chocolate and dark chocolate are typically eaten as a snack food, as opposed to unsweetened chocolate, which contains primarily cocoa solids and cocoa butter in varying proportions.",https://en.wikipedia.org/wiki/Chocolate,https://upload.wikimedia.org/wikipedia/commons/a/a1/Various_chocolate_types.jpg
Chocolate bar,,"A confection in bar form comprising some or all of the following components: cocoa solids, cocoa butter, sugar, milk. The relative presence or absence of these components form the subclasses of dark chocolate, milk chocolate, and white chocolate.",https://en.wikipedia.org/wiki/Chocolate_bar,https://upload.wikimedia.org/wikipedia/commons/a/ac/Milk_chocolate.jpg
Chocolate rugelach,Jewish,"Prepared with a cream cheese dough and a filling consisting of chocolate, jam (or jelly) and cinnamon. The addition of raisins and nuts and raisins is also common.",,https://upload.wikimedia.org/wikipedia/commons/3/3c/Rogalach01.jpg
Chocolate truffle,France,"A type of chocolate confectionery, traditionally made with a chocolate ganache centre coated in chocolate, icing sugar, cocoa powder or chopped toasted nuts (typically hazelnuts, almonds or coconut), usually in a spherical, conical, or curved shape. Other fillings may replace the ganache.",https://en.wikipedia.org/wiki/Chocolate_truffle,https://upload.wikimedia.org/wikipedia/commons/6/6e/Raspberry_chocolate_truffle_from_Mary_Ann%27s_Chocolates_Dessert%2C_March_2011.jpg
Fudge,United States,"Typically sweet and rich, it's prepared by mixing sugar, butter, and milk, heating it to the soft-ball stage at 240 °F (116 °C) and then beating the mixture while it cools so that it acquires a smooth, creamy consistency. Many variations exist with other flavorings added, such as chocolate.",https://en.wikipedia.org/wiki/Fudge,https://upload.wikimedia.org/wikipedia/commons/c/cc/Marcella%27s_fudge_in_detail.jpg
Geplak,Indonesia,"Made from equal parts coarsely grated coconut and sugar, in equal amounts, often colored brightly. Other variations exist.",https://en.wikipedia.org/wiki/Geplak,https://upload.wikimedia.org/wikipedia/commons/e/e6/Gula_kelapa_Malioboro_Yogyakarta.JPG
Grass jelly,China,A jelly-like dessert prepared by boiling the aged and slightly oxidized stalks and leaves of Mesona chinensis (member of the mint family) with potassium carbonate for several hours with a little starch and then cooling the liquid to a jelly-like consistency.,https://en.wikipedia.org/wiki/Grass_jelly,https://upload.wikimedia.org/wikipedia/commons/f/ff/GrassJellyBlocks.jpg
Kaju Katli,India,This is a South Indian desert made with cashew nuts and sugar.,https://en.wikipedia.org/wiki/Kaju_katli,https://upload.wikimedia.org/wikipedia/commons/a/ac/Kaju_katli_sweet.jpg
Laddu,India,"This is a desert made with flour, fat, and sugar, sometimes with the addition of nuts or coconut.",https://en.wikipedia.org/wiki/Laddu,https://upload.wikimedia.org/wikipedia/commons/8/82/Motichur_Laddu_%282%29.jpg
Marshmallow,,"In its modern form, typically consists of sugar and/or corn syrup, water, and gelatin, whipped to a spongy consistency and coated with corn starch. Marshmallow probably came first into being as a medicinal substance, since the mucilaginous extracts comes from the root of the marshmallow plant, Althaea officinalis, which were used as a remedy for sore throats. Concoctions of other parts of the marshmallow plant had medical purposes as well.",https://en.wikipedia.org/wiki/Marshmallow,https://upload.wikimedia.org/wikipedia/commons/e/e2/HK_CWB_%E9%A6%99%E6%B8%AF%E6%80%A1%E6%9D%B1%E9%85%92%E5%BA%97_Excelsior_Hotel_Candy_%E6%A3%89%E8%8A%B1%E7%B3%96_Marshmallows_Dec-2011_Ip4.jpg
Marzipan,,"Consisting primarily of sugar or honey and almond meal, sometimes augmented with almond oil or extract. Pictured is marzipan made into the shapes of fruits.",https://en.wikipedia.org/wiki/Marzipan,https://upload.wikimedia.org/wikipedia/commons/2/21/Fruit_shaped_marzipan_1410687_nevit.jpg
Nougat,,"A variety of similar traditional confectioneries made with sugar and/or honey, roasted nuts (almonds, walnuts, pistachios, hazelnuts, and recently macadamia nuts are common), whipped egg whites, and sometimes chopped candied fruit.",https://en.wikipedia.org/wiki/Nougat,https://upload.wikimedia.org/wikipedia/commons/7/78/Nougat_de_Mont%C3%A9limar_-_20090704.jpg
Panforte,Italy,"A traditional Italian dessert containing fruits and nuts, and resembles fruitcake or Lebkuchen. It may date back to 13th century Siena, in Italy's Tuscany region. Its preparation includes baking a mixture of sugar dissolved in honey, various nuts, fruits and spices and flour. The finished cake is dusted with icing sugar.",https://en.wikipedia.org/wiki/Panforte,https://upload.wikimedia.org/wikipedia/commons/3/36/Panforte.jpg
Pudding,,"Most often refers to a dessert, but can also be a savory dish. Depending on its ingredients such a pudding may be served as a part of the main course or as a dessert.",https://en.wikipedia.org/wiki/Pudding,https://upload.wikimedia.org/wikipedia/commons/4/46/Kheer.jpg
Rice Krispie treats,United States,"A sweet dessert or snack made from Rice Krispies, melted butter or margarine, and melted marshmallows. Sometimes marshmallows and/or cereal that is seasonal is used to make these treats holiday-specific.",https://en.wikipedia.org/wiki/Rice_Krispie_treats,https://upload.wikimedia.org/wikipedia/commons/c/cd/RKTsquares.jpg
S'mores,United States,A traditional nighttime campfire treat popular in the United States and Canada consisting of a roasted marshmallow and a layer of chocolate sandwiched between two pieces of graham cracker.,https://en.wikipedia.org/wiki/S%27more,https://upload.wikimedia.org/wikipedia/commons/d/d9/Smores-Microwave.jpg
Toffee,,"Made by caramelizing sugar or molasses (creating inverted sugar) along with butter, and occasionally flour. Toffee is sometimes prepared with nuts or raisins.",https://en.wikipedia.org/wiki/Toffee,https://upload.wikimedia.org/wikipedia/commons/f/f3/Thorntonstoffee.jpg
Turkish delight,Turkey,"A family of confections based on a gel of starch and sugar. Premium varieties consist largely of chopped dates, pistachios and hazelnuts or walnuts bound by the gel; the cheapest are mostly gel, generally flavored with rosewater, mastic, bergamot orange or lemon.",https://en.wikipedia.org/wiki/Turkish_delight,https://upload.wikimedia.org/wikipedia/commons/f/f7/T_Honey.jpg
Arrowroot,,"Arrowroot used to be very popular in British cuisine, and Napoleon supposedly said the reason for the British love of arrowroot was to support the commerce of their colonies. It can be consumed in the form of biscuits, puddings, jellies, cakes, hot sauces, and also with beef tea, milk or veal broth, and noodles in Korean and Vietnamese cuisine.",https://en.wikipedia.org/wiki/Arrowroot,https://upload.wikimedia.org/wikipedia/commons/a/a3/BonbonsLaRouroute.JPG
Chebakia,Morocco[19],A sesame cookie that is fried and covered with honey. They're typically shaped as a flower.,,https://upload.wikimedia.org/wikipedia/commons/d/d6/Chebakia.jpg
Chocolate chip cookie,United States,A drop cookie that features chocolate chips as its distinguishing ingredient.,https://en.wikipedia.org/wiki/Chocolate_chip_cookie,https://upload.wikimedia.org/wikipedia/commons/0/04/C_is_for_Cookie%2C_August_2005.jpg
Cookie,,"In the United States, Canada and Australia a cookie is a small, flat, baked treat, usually containing fat, flour, eggs and sugar. In Scotland, a cookie is a plain bun. In most English-speaking countries outside North America, including the United Kingdom, the most common word for a small, flat, baked treat, usually containing fat, flour, eggs and sugar is biscuit, however in many regions both terms are used, such as the American-inspired Maryland Cookies, while in others the two words have different meanings. Pictured are butter cookies.",https://en.wikipedia.org/wiki/Cookie,https://upload.wikimedia.org/wikipedia/commons/7/7d/HK_food_market_%E7%89%9B%E6%B2%B9_%E6%9B%B2%E5%A5%87%E9%A4%85_Butter_Cookie_with_wrappers_March-2012.jpg
Ginger snaps,,"A globally popular biscuit based snack food, flavored with ginger.",https://en.wikipedia.org/wiki/Ginger_nut,https://upload.wikimedia.org/wikipedia/commons/f/fa/Freshly_baked_gingerbread_-_Christmas_2004.jpg
Graham crackers,"Invented in Bound Brook, New Jersey by Sylvester Graham","The original graham cracker was made with graham flour, a combination of finely-ground unbleached-wheat flour with the wheat bran and germ coarsely-ground and added back in providing nutrition and flavor.",https://en.wikipedia.org/wiki/Graham_cracker,https://upload.wikimedia.org/wikipedia/commons/8/87/Graham-Cracker-Stack.jpg
Oatmeal cookie,,Cookies prepared with oatmeal. Raisins and other ingredients such as chocolate chips are also sometimes used.,https://en.wikipedia.org/wiki/Cookie#Classification_of_cookies,https://upload.wikimedia.org/wikipedia/commons/d/dd/Banana_oatmeal_chocolate_chip_cookies.jpg
Peanut butter cookie,United States,"A type of cookie that is distinguished by having peanut butter as a principal ingredient. The cookie generally originated in the United States, its development dating back to the 1910s.",https://en.wikipedia.org/wiki/Peanut_butter_cookie,https://upload.wikimedia.org/wikipedia/commons/2/24/Peanut_butter_cookies%2C_September_2009.jpg
Gansito,Mexico,A Mexican snack cake that is filled with both strawberry jelly and a creamy filling. They are covered in chocolate and have a chocolate sprinkle topping. It was created in 1957 by Marinela (the pastries division of the breadmaking Bimbo brand).,https://en.wikipedia.org/wiki/Gansito,https://upload.wikimedia.org/wikipedia/commons/4/46/Ganstio_fotograf%C3%ADa_recortada.JPG
Jaffa Cakes,Scotland,"Introduced by McVitie and Price in 1927 and named after Jaffa oranges, and now manufactured by numerous companies including McVities, Cadbury and other biscuit manufacturers, Tesco and other supermarket chains.",https://en.wikipedia.org/wiki/Jaffa_Cakes,https://upload.wikimedia.org/wikipedia/commons/9/9f/Jaffa_cake.png
Jajan pasar,"Java, Indonesia",Traditional Javanese cakes sold in the Javanese markets,https://en.wikipedia.org/wiki/Jajan_pasar,https://upload.wikimedia.org/wikipedia/commons/5/58/Jajan_Pasar_in_Jakarta.JPG
Snack cake,,A baked dessert confectionery made with cake and icing.,https://en.wikipedia.org/wiki/Snack_cake,https://upload.wikimedia.org/wikipedia/commons/a/a7/Hostess-Rspbry-Zingers.jpg
Churros,Spain,"Sometimes referred to as a Spanish doughnut, it's a fried-dough pastry, predominantly choux, based snack. Churros are popular in Spain, Italy, France, the Philippines, Portugal, Central America, South America and the United States. Pictured are churros drizzled with chocolate.",https://en.wikipedia.org/wiki/Churro,https://upload.wikimedia.org/wikipedia/commons/7/73/Churros_el_hatillo.JPG
Fairy bread,Australia,,https://en.wikipedia.org/wiki/Fairy_bread,https://upload.wikimedia.org/wikipedia/commons/e/ee/Fairy_Bread.jpg
Fruit bun,Commonwealth,,https://en.wikipedia.org/wiki/Fruit_bun,https://upload.wikimedia.org/wikipedia/commons/4/47/Jamaican_fruit_bun.jpg
Pastry,,"Pictured is a profiterole, also known as a cream puff.",https://en.wikipedia.org/wiki/Pastry,https://upload.wikimedia.org/wikipedia/commons/f/f4/Cream_puff_%28cropped_and_edited%29.jpg
Scones,United Kingdom,,https://en.wikipedia.org/wiki/Scone_(bread),https://upload.wikimedia.org/wikipedia/commons/a/a4/Pile_of_scones.jpg
Snack pie,,,https://en.wikipedia.org/wiki/Pie,https://upload.wikimedia.org/wikipedia/commons/1/1e/HubigsPlate.jpg
Toaster pastry,United States,,https://en.wikipedia.org/wiki/Toaster_pastry,https://upload.wikimedia.org/wikipedia/commons/1/18/Strawberry-Pop-Tarts.jpg
Pineapple cake,Taiwan,"a sweet traditional Taiwanese pastry containing butter, flour, egg, milk powder, sugar, and pineapple jam or slices.",https://en.wikipedia.org/wiki/Pineapple_cake,https://upload.wikimedia.org/wikipedia/commons/6/64/Pineapple_Pastry.JPG
Suncake (Taiwan),Taiwan,"a popular Taiwanese dessert with maltose fillings originally from the city of Taichung, Taiwan.",https://en.wikipedia.org/wiki/Suncake_(Taiwan),
Amazake,Japan,"A traditional sweet, low- or non-alcohol (depending on recipes) Japanese drink made from fermented rice. Amazake dates from the Kofun period, and it is mentioned in the Nihon Shoki, the second oldest book of classical Japanese history.",https://en.wikipedia.org/wiki/Amazake,https://upload.wikimedia.org/wikipedia/commons/8/89/Amazake_001.jpg
Atole,Mexico,,https://en.wikipedia.org/wiki/Atole,https://upload.wikimedia.org/wikipedia/commons/6/63/100320_atol_de_elote_guatemala.JPG
Bubble tea,"Taichung, Taiwan","A tea-based drink. It includes chewy tapioca balls (""boba"" or ""pearls"") or a wide range of other toppings.",https://en.wikipedia.org/wiki/Bubble_tea,https://upload.wikimedia.org/wikipedia/commons/6/62/Matcha_green_tea.jpg
Coffee,Ethiopia; southern Arabia,"A beverage prepared from the dried seeds (known as coffee beans) of Coffea species. It contains caffeine, a mild stimulant. It is often consumed with sugar and milk mixed in.",https://en.wikipedia.org/wiki/Coffee,https://upload.wikimedia.org/wikipedia/commons/4/45/A_small_cup_of_coffee.JPG
Colada morada,,,https://en.wikipedia.org/wiki/Colada_morada,https://upload.wikimedia.org/wikipedia/commons/c/cf/ELABORACI%C3%93N_DE_LA_COLADA_MORADA_%2815582118761%29_%28cropped%29.jpg
"Energy drinks (Red Bull, Monster)",Thailand,,https://en.wikipedia.org/wiki/Energy_drink,
Flavored milk,"Flavors include chocolate, strawberry and even rose and banana.",,https://en.wikipedia.org/wiki/Flavored_milk,https://upload.wikimedia.org/wikipedia/commons/4/4d/Flickr_-_cyclonebill_-_Cocio_%281%29.jpg
Horchata,Mexico,,https://en.wikipedia.org/wiki/Horchata,https://upload.wikimedia.org/wikipedia/commons/3/31/Horchata_jar.jpg
Juice,,A beverage prepared from the forced extraction of liquids from fruit and vegetables.,https://en.wikipedia.org/wiki/Juice,https://upload.wikimedia.org/wikipedia/commons/f/fd/Orange_juice_1.jpg
Kefir,,,https://en.wikipedia.org/wiki/Kefir,https://upload.wikimedia.org/wikipedia/commons/c/cf/Kefir_glass_london_feb_10.jpg
Lassi,India,"This drink is made with yoghurt, water, spice. Fruit is sometimes added.",https://en.wikipedia.org/wiki/Lassi,https://upload.wikimedia.org/wikipedia/commons/1/12/Flavoured_lassi.jpg
Malted milk,,,https://en.wikipedia.org/wiki/Malted_milk,
Milkshake,,,https://en.wikipedia.org/wiki/Milkshake,https://upload.wikimedia.org/wikipedia/commons/6/65/Irish_Violet_Crumble.jpg
Root beer,United States,,https://en.wikipedia.org/wiki/Root_beer,https://upload.wikimedia.org/wikipedia/commons/0/0c/Rootbeerfoam2.JPG
Root beer float,United States,,https://en.wikipedia.org/wiki/Root_beer_float,https://upload.wikimedia.org/wikipedia/commons/e/e2/Root_Beer_Float.jpg
Sambhaaram,Kerala (Southern India),"Curd diluted with water spiced with green chillies, ginger and curry leaves.",,
Sikhye,Korea,,https://en.wikipedia.org/wiki/Sikhye,https://upload.wikimedia.org/wikipedia/commons/6/6d/Korean.dessert-Sikhye-01.jpg
Soft drinks,,,https://en.wikipedia.org/wiki/Soft_drink,https://upload.wikimedia.org/wikipedia/commons/c/cf/Tumbler_of_cola_with_ice.jpg
Smoothie,,,https://en.wikipedia.org/wiki/Smoothie,https://upload.wikimedia.org/wikipedia/commons/3/37/2011.09_smoothie2.JPG
"Sports drinks (Gatorade, Powerade)",,,https://en.wikipedia.org/wiki/Sports_drink,https://upload.wikimedia.org/wikipedia/commons/a/a5/GSeries.jpg
Tamagozake,Japan,"Consists of heated sake, sugar and a raw egg",https://en.wikipedia.org/wiki/Tamagozake,
Tea,,"Usually consumed warm. It contains hot water, a teabag for flavour, and sometimes milk and sugar is added.",https://en.wikipedia.org/wiki/Tea,https://upload.wikimedia.org/wikipedia/commons/2/22/Cup_of_Earl_Gray.jpg
Tejuino,"Jalisco, Mexico",A cold beverage made from fermented corn. It is often served with a scoop of shaved ice.,https://en.wikipedia.org/wiki/Tejuino,https://upload.wikimedia.org/wikipedia/commons/1/12/Tejuino.JPG
Frozen custard,"Coney Island, New York","A cold dessert similar to ice cream, but made with eggs in addition to cream and sugar. It was invented in Coney Island, New York in 1919, when ice cream vendors Archie and Elton Kohr found that adding egg yolks to ice cream created a smoother texture and helped the ice cream stay cold longer. In their first weekend on the boardwalk, the Kohr brothers sold 18,460 cones.",https://en.wikipedia.org/wiki/Frozen_custard,https://upload.wikimedia.org/wikipedia/commons/0/02/FrozenCustard.jpg
Ice cream,China,"A frozen dessert usually made from dairy products, such as milk and cream, and often combined with fruits or other ingredients and flavours. Most varieties contain sugar, although some are made with other sweeteners. The meaning of the phrase ""ice cream"" varies from one country to another. Phrases such as ""frozen custard"", ""frozen yogurt"", ""sorbet"", ""gelato"" and others are used to distinguish different varieties and styles. In some countries, such as the United States, the phrase ""ice cream"" applies only to a specific variety, and most governments regulate the commercial use of the various terms according to the relative quantities of the main ingredients. In other countries, such as Italy and Argentina, one word is used for all variants.",https://en.wikipedia.org/wiki/Ice_cream,https://upload.wikimedia.org/wikipedia/commons/7/72/Carrot_cake_ice_cream.jpg
Ice pop,San Francisco,"A water-based frozen snack that is made by freezing flavored liquid (such as fruit juice) around a stick. The first recorded ice pop was created in 1905 by 11-year-old Frank Epperson of San Francisco, who left a glass of soda water powder and water outside in his back porch with a wooden mixing stick in it. In the United States and Canada frozen ice on a stick is generically referred to as a popsicle due to the early popularity of the Popsicle brand. In Ireland the product is also referred to as a freeze pop. In the United Kingdom the term ice lolly is used. Ice block is used in parts of Australia and New Zealand, as well as icy pole, after a brand of the same name.",https://en.wikipedia.org/wiki/Ice_pop,https://upload.wikimedia.org/wikipedia/commons/8/86/Icepop-green.jpg
Milkshake,,"A sweet, cold beverage which is usually made from milk, ice cream or iced milk, and flavorings or sweeteners such as fruit syrup or chocolate sauce.  Outside the United States, the drink is sometimes called a ""thickshake"" or a ""thick milkshake"" or in New England, a ""frappe"". When the term ""milkshake"" was first used in print in 1885, milkshakes were an alcoholic whiskey drink that has been described as a ""sturdy, healthful eggnog type of drink, with eggs, whiskey, etc., served as a tonic as well as a treat"". However, by 1900, the term referred to ""wholesome drinks made with chocolate, strawberry, or vanilla syrups."" By the ""early 1900s people were asking for the new treat, often with ice cream.""",https://en.wikipedia.org/wiki/Milkshake,https://upload.wikimedia.org/wikipedia/commons/7/72/Strawberry_milkshake.jpg
Achappam,,A traditional rice rosette popular in Kerala.,https://en.wikipedia.org/wiki/Rosette_(cookie),https://upload.wikimedia.org/wikipedia/commons/c/ce/Rosettes.JPG
Ada,"Kerala, India","A traditional Keralan delicacy, consisting of rice parcels encased in a dough made of rice flour, with sweet fillings, steamed in banana leaf and served as an evening snack or as part of breakfast. Grated coconut and rice flour are the two main ingredients.",https://en.wikipedia.org/wiki/Ada_(food),https://upload.wikimedia.org/wikipedia/commons/f/f0/Ada_%28food%29.jpg
Dolma,"Balkans, Middle East, Caucases",A traditional dish of Armenian cuisine - minced meat wrapped in grape leaves,https://en.wikipedia.org/wiki/Dolma,https://upload.wikimedia.org/wikipedia/commons/0/08/Azerbaijani_dolma_pepper_tomato.jpg
French fries,"Belgium, United States",,https://en.wikipedia.org/wiki/French_fries,https://upload.wikimedia.org/wikipedia/commons/d/d1/McDonalds-French-Fries-Plate.jpg
Hummus,,Pictured is hummus with pine nuts and olive oil.,https://en.wikipedia.org/wiki/Hummus,https://upload.wikimedia.org/wikipedia/commons/3/3f/Hummuswithpinenuts.jpg
Instant soup,Japan,,https://en.wikipedia.org/wiki/Instant_soup,https://upload.wikimedia.org/wikipedia/commons/5/50/Singapore_Curry_Flavoured_Noodles%2C_-Mar._2011_a.jpg
Khandvi,Gujarat,"A collective term used for a type of snacks in Gujarati cuisine, from the Indian state of Gujarat",https://en.wikipedia.org/wiki/Khandvi_(food),https://upload.wikimedia.org/wikipedia/commons/7/7d/Khandvi%2C_Gujarati_snack.jpg
Kuzhalappam,,A traditional rice based tea time snack popular in Kerala.,https://en.wikipedia.orghttps://ml.wikipedia.org/wiki/%E0%B4%95%E0%B5%81%E0%B4%B4%E0%B4%B2%E0%B4%AA%E0%B5%8D%E0%B4%AA%E0%B4%82,https://upload.wikimedia.org/wikipedia/commons/d/df/%E0%B4%95%E0%B5%81%E0%B4%B4%E0%B4%B2%E0%B4%AA%E0%B5%8D%E0%B4%AA%E0%B4%82.jpg
Meze,,,https://en.wikipedia.org/wiki/Meze,https://upload.wikimedia.org/wikipedia/commons/a/ac/Turkish_Meze_Plate.jpg
Nian gao,,,https://en.wikipedia.org/wiki/Nian_gao,https://upload.wikimedia.org/wikipedia/commons/c/ca/File-Guangdong_Nianguo.jpg
Obložené chlebíčky,"Czech Republic, Slovakia",,https://en.wikipedia.org/wiki/Oblo%C5%BEen%C3%A9_chleb%C3%AD%C4%8Dky,https://upload.wikimedia.org/wikipedia/commons/b/bf/Chlebicky.JPG
